GeoFIPS,GeoName,Region,LineCode,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
" ""01000""",Alabama,5,42, Plus: Adjustment for residence 6/,Millions of dollars,1256.9,1315.1,1374.2,1454.8,1488.7,1554.7,1610.6,1725.9,1834.1,1803.7,1887.5,2033.2,2293.9,2377.7,2367.8,2352,2434.8,2389.5,2537.2,2619.6,2471.1
" ""01000""",Alabama,5,45, Equals: Net earnings by place of residence,Millions of dollars,70349.1,72434.9,74535.5,77531.6,82721.1,87389.2,92164.5,95064.3,95445.7,93653.9,96230.4,100193.2,103071.3,104662.5,107406.8,110706.8,112806.4,117061.9,122071.2,126895.1,128768.2
" ""01000""",Alabama,5,46," Plus: Dividends, interest, and rent 7/",Millions of dollars,20116.6,20305.7,19814.9,20779.5,23000.7,24620.8,26763.9,29108.6,30826.1,27582.8,28322.4,29560.7,31428.6,30812.6,32355.1,34147.7,34728.4,36615.2,37669.4,39268.9,38737.8
" ""01000""",Alabama,5,47, Plus: Personal current transfer receipts,Millions of dollars,17749.7,19206.8,20554.1,21812.3,23106.9,24851.2,26763.9,28811.5,32178.8,34676.8,37978.3,38720.4,38861.7,39710.1,41316.9,44260.9,44828.6,45659.3,47313,49766.3,61242.8
" ""01000""",Alabama,5,50, Wages and salaries,Millions of dollars,57239.3,58650.3,60175.1,62193.4,65590.7,69328.2,73732.1,77269,79137.6,76306.3,77298.1,78941.8,81166.9,82339.3,85163.9,88398.8,90619.5,94047.9,98114.3,102573.9,104934.6
" ""01000""",Alabama,5,60, Supplements to wages and salaries,Millions of dollars,12689.4,13414,14006.7,14925.8,16034.4,17068.7,17414.6,18017.2,18501.3,19032.7,19528.6,19966.9,19201.9,19846.2,20849,21598.3,22223.9,22605.1,23520.5,24393.5,24762.6
" ""01000""",Alabama,5,61,  Employer contributions for employee pension and insurance funds 8/,Millions of dollars,8415.8,9031.5,9514,10256.3,11160.9,11915.5,12057.5,12433.5,12755.8,13425.6,13626.8,13889.9,13038.3,13580.2,14477.9,15013.5,15614.2,15779.9,16401.7,17041.8,17029.2
" ""01000""",Alabama,5,62,  Employer contributions for government social insurance,Millions of dollars,4273.6,4382.5,4492.7,4669.5,4873.5,5153.2,5357.1,5583.8,5745.5,5607.1,5901.7,6077,6163.6,6266,6371.2,6584.8,6609.7,6825.2,7118.7,7351.7,7733.5
" ""01000""",Alabama,5,70, Proprietors' income 9/,Millions of dollars,8049.9,8244.6,8464,8788.1,9939,10427,11074.2,10275.7,8578.6,8846.8,10226.1,10897.7,12293.8,13795,13095.6,12898.4,12345.5,13420.5,14161.4,13996.7,14211.5
" ""01000""",Alabama,5,71,  Farm proprietors' income,Millions of dollars,811.8,1196.1,798.6,1150.4,1596.6,1492.5,818.5,605.2,651.9,707.9,569.4,202.1,455.5,1836.4,1228.8,1340.4,661.7,1067.5,811.4,671,545.4
" ""01000""",Alabama,5,72,  Nonfarm proprietors' income,Millions of dollars,7238.1,7048.5,7665.3,7637.7,8342.4,8934.5,10255.7,9670.5,7926.8,8138.9,9656.6,10695.6,11838.3,11958.6,11866.8,11558.1,11683.9,12353,13350,13325.6,13666
" ""01000""",Alabama,5,7010,Total employment,Number of jobs,2392225,2376053,2364828,2371430,2425649,2486833,2545556,2604078,2582591,2479507,2460298,2497933,2503678,2523338,2551872,2587451,2619737,2649812,2692383,2712704,2612469
" ""01000""",Alabama,5,7020, Wage and salary employment,Number of jobs,2008801,1988175,1971265,1965711,2000342,2036267,2073063,2095767,2075014,1968098,1949629,1949307,1963937,1979360,1996239,2025178,2050126,2073917,2099071,2127321,2044978
" ""01000""",Alabama,5,7040, Proprietors employment,Number of jobs,383424,387878,393563,405719,425307,450566,472493,508311,507577,511409,510669,548626,539741,543978,555633,562273,569611,575895,593312,585383,567491
" ""02000""",Alaska *,8,10,Personal income (millions of dollars),Millions of dollars,20122.4,21309.2,22325.3,23340.3,24404.3,26061.2,27793.4,29869.1,32907.7,33028.4,35452,37981.8,39266,38978,41210,42555.1,41837.4,42497.1,44102.7,45293.9,46430.3
" ""02000""",Alaska *,8,11, Nonfarm personal income 1/,Millions of dollars,20102.1,21289.7,22306.2,23329,24390.2,26047.7,27783.8,29860.5,32908,33024.1,35447.2,37977.6,39256.6,38970.2,41200.5,42545.4,41824.5,42488.6,44092.9,45282.7,46374.6
" ""02000""",Alaska *,8,12, Farm income 2/,Millions of dollars,20.4,19.6,19.1,11.3,14.1,13.5,9.6,8.6,-0.4,4.3,4.8,4.1,9.4,7.9,9.4,9.7,12.9,8.5,9.7,11.1,55.7
" ""02000""",Alaska *,8,20,Population (persons) 3/,Number of persons,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,713982,722349,730810,737626,737075,738430,742575,740983,736624,733603,731158
" ""02000""",Alaska *,8,30,Per capita personal income (dollars) 4/,Dollars,32044,33626,34756,35996,37016,39075,41157,43906,47869,47258,49654,52581,53729,52843,55910,57629,56341,57352,59871,61742,63502
" ""02000""",Alaska *,8,35, Earnings by place of work,Millions of dollars,15867.1,17029.5,18023,18952.1,19930.4,21161,22329.8,23393.3,24430.4,25470.7,26980.2,28475.1,29655.7,29872.7,30607.6,31433.1,30583.2,30684.5,31618.2,32282.7,32122.2
" ""02000""",Alaska *,8,36, Less: Contributions for government social insurance 5/,Millions of dollars,1644.2,1737.9,1827.6,1891.4,2015.2,2156.2,2362.6,2461.8,2543.2,2587,2676.8,2545.5,2697.7,3119.8,3115.8,3164.1,3056.5,3085.4,3154.2,3254.9,3248.6
" ""02000""",Alaska *,8,37,  Employee and self-employed contributions for government social insurance,Millions of dollars,783.7,840.3,885.3,919.4,976.3,1039.2,1146.4,1214.2,1263.4,1284.9,1338.5,1101.1,1146.4,1514.9,1548.1,1587,1545,1571.8,1623.9,1682.5,1679.8
" ""02000""",Alaska *,8,38,  Employer contributions for government social insurance,Millions of dollars,860.5,897.5,942.2,972,1038.9,1117,1216.2,1247.6,1279.8,1302.1,1338.3,1444.4,1551.3,1604.9,1567.7,1577.1,1511.4,1513.6,1530.2,1572.5,1568.8
" ""02000""",Alaska *,8,42, Plus: Adjustment for residence 6/,Millions of dollars,-877.7,-863,-791.6,-700,-607.7,-512.6,-419.8,-307.9,-173.3,-178.7,-179.8,-194.3,-205.4,-206.2,-219.8,-223.3,-194.4,-181.2,-191.1,-196.8,-191.9
" ""02000""",Alaska *,8,45, Equals: Net earnings by place of residence,Millions of dollars,13345.2,14428.7,15403.8,16360.7,17307.4,18492.2,19547.3,20623.6,21713.9,22705,24123.5,25735.2,26752.6,26546.7,27272,28045.6,27332.3,27417.8,28273,28831,28681.6
" ""02000""",Alaska *,8,46," Plus: Dividends, interest, and rent 7/",Millions of dollars,3699.8,3661,3614.1,3733.7,3888.5,4164.6,4630.6,5161.7,5732.4,5575.7,5992.5,6708,7111.1,7017.8,7457.9,7870.6,7945.9,8099.9,8270.8,8497.6,8334
" ""02000""",Alaska *,8,47, Plus: Personal current transfer receipts,Millions of dollars,3077.4,3219.5,3307.4,3245.9,3208.4,3404.5,3615.5,4083.8,5461.3,4747.7,5336,5538.5,5402.3,5413.6,6480.1,6638.9,6559.2,6979.4,7558.9,7965.2,9414.7
" ""02000""",Alaska *,8,50, Wages and salaries,Millions of dollars,11077.3,11733.8,12324.3,12794.9,13460.8,14256.3,15122.6,16103.3,17038,17532.6,17998.1,18772.3,19588.2,19949.1,20515.3,21225.8,20517.8,20400.1,21049.7,21816.6,21536.1
" ""02000""",Alaska *,8,60, Supplements to wages and salaries,Millions of dollars,2818.4,3153.3,3382.6,3730.6,3993.5,4327.2,4471.8,4681,4773.1,5004.5,5174.3,5696.1,6147.1,6409.2,6620.4,6595.8,6675,6770.9,7254.9,7301.9,7268.6
" ""02000""",Alaska *,8,61,  Employer contributions for employee pension and insurance funds 8/,Millions of dollars,1957.9,2255.8,2440.3,2758.6,2954.6,3210.2,3255.5,3433.4,3493.2,3702.4,3836.1,4251.7,4595.9,4804.3,5052.7,5018.7,5163.6,5257.3,5724.6,5729.4,5699.8
" ""02000""",Alaska *,8,62,  Employer contributions for government social insurance,Millions of dollars,860.5,897.5,942.2,972,1038.9,1117,1216.2,1247.6,1279.8,1302.1,1338.3,1444.4,1551.3,1604.9,1567.7,1577.1,1511.4,1513.6,1530.2,1572.5,1568.8
" ""02000""",Alaska *,8,70, Proprietors' income 9/,Millions of dollars,1971.4,2142.4,2316.1,2426.7,2476.1,2577.4,2735.4,2609,2619.3,2933.7,3807.7,4006.6,3920.3,3514.4,3471.9,3611.5,3390.4,3513.5,3313.6,3164.2,3317.4
" ""02000""",Alaska *,8,71,  Farm proprietors' income,Millions of dollars,13.9,13.1,12.7,5.7,8.2,7.8,4,3,-12.9,-14.1,-12.6,-12.6,-9.2,-10.5,-9.5,-7.9,-5.8,-14.5,-11.7,-10.2,34.2
" ""02000""",Alaska *,8,72,  Nonfarm proprietors' income,Millions of dollars,1957.5,2129.3,2303.4,2421,2467.9,2569.6,2731.4,2606.1,2632.2,2947.8,3820.3,4019.2,3929.5,3524.9,3481.4,3619.4,3396.2,3528,3325.3,3174.3,3283.2
" ""02000""",Alaska *,8,7010,Total employment,Number of jobs,389734,394565,402187,405621,413864,421419,431320,439825,443538,442447,443904,450364,459222,461110,461327,461649,457120,455705,454871,454742,425953
" ""02000""",Alaska *,8,7020, Wage and salary employment,Number of jobs,307474,313492,319545,323689,329719,335454,342900,346504,351102,350471,352399,358363,364972,365773,365894,367606,360916,357232,356008,358545,332120
" ""02000""",Alaska *,8,7040, Proprietors employment,Number of jobs,82260,81073,82642,81932,84145,85965,88420,93321,92436,91976,91505,92001,94250,95337,95433,94043,96204,98473,98863,96197,93833
" ""04000""",Arizona,6,10,Personal income (millions of dollars),Millions of dollars,136175.1,142423.5,147602.2,156458.3,170821.6,188762,209228.7,221244.8,224508.3,212646,216873.6,227700.1,237809.1,243752.3,257272.3,270815.5,282085.1,297904.9,315732.2,334023.9,368458.6
" ""04000""",Arizona,6,11, Nonfarm personal income 1/,Millions of dollars,135393.2,141701,146863.7,155763.1,169829.8,187805,208546.5,220436,223927.2,212202.2,216245.2,226569,236966.4,242515.3,256251.5,269433.8,280622.8,296539.6,314568.2,332654.1,366563.9
" ""04000""",Arizona,6,12, Farm income 2/,Millions of dollars,781.9,722.5,738.5,695.2,991.8,956.9,682.2,808.8,581.1,443.8,628.5,1131,842.7,1237,1020.8,1381.7,1462.3,1365.3,1164,1369.8,1894.7
" ""04000""",Arizona,6,20,Population (persons) 3/,Number of persons,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6407342,6473416,6556344,6634690,6732873,6832810,6944767,7048088,7164228,7291843,7421401
" ""04000""",Arizona,6,30,Per capita personal income (dollars) 4/,Dollars,26388,27008,27353,28393,30221,32327,34703,35872,35748,33524,33848,35175,36272,36739,38211,39635,40618,42267,44071,45808,49648
" ""04000""",Arizona,6,35, Earnings by place of work,Millions of dollars,100790.2,104945,108532.3,114295,124975.7,137529,152575.1,159265.6,156857.7,145558,146277.3,152293.7,159470.7,166848.9,173932.3,182656.8,190677.8,201738.2,214996.7,227947.1,239683.3
" ""04000""",Arizona,6,36, Less: Contributions for government social insurance 5/,Millions of dollars,11419,11946.1,12345.7,12824.2,13891.7,15247.9,16722.2,17692.6,17903.6,17068,17245.5,15978.6,16522.7,19313.5,19980.2,21011.6,21876.2,23170.8,24869.8,26532.3,28328.2
" ""04000""",Arizona,6,37,  Employee and self-employed contributions for government social insurance,Millions of dollars,5906.8,6151.8,6359.1,6639.7,7217.1,7984.5,8783.3,9232.3,9325.2,8997.3,9147.9,7576.1,7817.7,10317.9,10812.2,11385.1,11899.2,12631.3,13669.4,14727.6,15785.7
" ""04000""",Arizona,6,38,  Employer contributions for government social insurance,Millions of dollars,5512.3,5794.3,5986.6,6184.5,6674.6,7263.3,7938.9,8460.3,8578.4,8070.7,8097.6,8402.4,8705,8995.7,9168,9626.5,9977.1,10539.4,11200.4,11804.7,12542.5
" ""04000""",Arizona,6,42, Plus: Adjustment for residence 6/,Millions of dollars,525,637.8,695.8,796.3,946.5,1058,1091.8,1174.9,1214,1224.1,1249,1248.2,1348.8,1345.4,1454.7,1513.2,1594.7,1674.8,1726.7,1871.8,1542.9
" ""04000""",Arizona,6,45, Equals: Net earnings by place of residence,Millions of dollars,89896.1,93636.6,96882.4,102267.1,112030.4,123339.2,136944.7,142747.9,140168.1,129714.1,130280.8,137563.3,144296.9,148880.8,155406.8,163158.4,170396.2,180242.2,191853.6,203286.6,212898
" ""04000""",Arizona,6,46," Plus: Dividends, interest, and rent 7/",Millions of dollars,29251.1,29474.2,29206.3,30716.1,33016.1,36935.6,41151.9,44713,44979.9,38921.4,38707.1,42313.8,45660,45332.7,49085.5,52955.4,54924.4,57960.7,61390.7,63831.8,64462
" ""04000""",Arizona,6,47, Plus: Personal current transfer receipts,Millions of dollars,17027.9,19312.7,21513.6,23475.1,25775.1,28487.2,31132.1,33784,39360.2,44010.5,47885.7,47822.9,47852.1,49538.9,52780,54701.7,56764.5,59702.1,62487.9,66905.5,91098.6
" ""04000""",Arizona,6,50, Wages and salaries,Millions of dollars,76583.3,79484.2,81178.2,85001.2,92157.4,101120.4,111470.4,117290.4,117223.9,109645.5,109158.5,113496.9,118948.3,122598.8,127741.2,134093,139316.5,147654.5,157079.9,167724.9,176178.7
" ""04000""",Arizona,6,60, Supplements to wages and salaries,Millions of dollars,14739.2,15988.2,16860.9,17674,18963,20640,23073.3,25287.2,26642.4,25469.3,25432.9,26159.8,26308.6,27825.9,28844.8,29915,31463,33485.2,36101.8,36672.9,37865.4
" ""04000""",Arizona,6,61,  Employer contributions for employee pension and insurance funds 8/,Millions of dollars,9226.9,10193.9,10874.3,11489.5,12288.4,13376.7,15134.5,16826.9,18064,17398.6,17335.3,17757.4,17603.6,18830.3,19676.8,20288.6,21485.9,22945.7,24901.4,24868.2,25322.9
" ""04000""",Arizona,6,62,  Employer contributions for government social insurance,Millions of dollars,5512.3,5794.3,5986.6,6184.5,6674.6,7263.3,7938.9,8460.3,8578.4,8070.7,8097.6,8402.4,8705,8995.7,9168,9626.5,9977.1,10539.4,11200.4,11804.7,12542.5
" ""04000""",Arizona,6,70, Proprietors' income 9/,Millions of dollars,9467.7,9472.5,10493.2,11619.7,13855.2,15768.6,18031.3,16688,12991.3,10443.2,11686,12636.9,14213.8,16424.2,17346.3,18648.8,19898.3,20598.5,21815,23549.3,25639.2
" ""04000""",Arizona,6,71,  Farm proprietors' income,Millions of dollars,438.7,373.1,342.2,351.1,626.5,546.8,292.3,359.4,165.7,-23.1,218.9,720.6,364.2,703.3,503.4,943,956.1,860.9,658.1,1000.7,1404.1
" ""04000""",Arizona,6,72,  Nonfarm proprietors' income,Millions of dollars,9029,9099.4,10151,11268.5,13228.7,15221.8,17739,16328.6,12825.6,10466.3,11467,11916.3,13849.5,15720.8,16842.9,17705.8,18942.1,19737.6,21156.9,22548.7,24235.1
" ""04000""",Arizona,6,7010,Total employment,Number of jobs,2801510,2829002,2847095,2917121,3041476,3219820,3375218,3465075,3402808,3228493,3181571,3239045,3295537,3371219,3448173,3547627,3644774,3740003,3854506,3929402,3826162
" ""04000""",Arizona,6,7020, Wage and salary employment,Number of jobs,2332044,2352082,2356072,2393694,2479989,2610087,2738783,2773088,2706550,2515005,2473095,2499245,2558410,2617500,2669276,2745054,2815425,2882752,2963209,3055859,2967485
" ""04000""",Arizona,6,7040, Proprietors employment,Number of jobs,469466,476920,491023,523427,561487,609733,636435,691987,696258,713488,708476,739800,737127,753719,778897,802573,829349,857251,891297,873543,858677
" ""05000""",Arkansas,5,10,Personal income (millions of dollars),Millions of dollars,61021,64255.3,65770.4,69742.3,74404.8,78500.7,83572.4,89170.5,92864.7,91170.8,94576.1,100739.2,107877.3,108367.8,114743.3,118719.5,121825.9,125779.9,130865.2,135302.7,143147.9
" ""05000""",Arkansas,5,11, Nonfarm personal income 1/,Millions of dollars,59333.1,62261.9,64516.7,67353.6,71655.1,76646.8,82081.3,87307.3,91270.4,90246.8,93918.1,100034.4,106772.8,105875.1,112723.8,117348.4,120857.9,124155.3,129530.8,134463.1,142472.4
" ""05000""",Arkansas,5,12, Farm income 2/,Millions of dollars,1687.9,1993.4,1253.7,2388.6,2749.7,1853.8,1491.2,1863.3,1594.3,924,658,704.9,1104.5,2492.6,2019.5,1371.1,968,1624.6,1334.4,839.6,675.5
" ""05000""",Arkansas,5,20,Population (persons) 3/,Number of persons,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921998,2941038,2952876,2960459,2968759,2979732,2991815,3003855,3012161,3020985,3030522
" ""05000""",Arkansas,5,30,Per capita personal income (dollars) 4/,Dollars,22781,23873,24306,25595,27059,28227,29617,31303,32306,31472,32367,34253,36533,36605,38650,39842,40720,41873,43446,44788,47235
" ""05000""",Arkansas,5,35, Earnings by place of work,Millions of dollars,44708.9,46778.2,47825.4,51011.6,54275.7,56127.7,58327.1,60591.8,60802.5,59386.4,61193.5,63572,66975.8,69635.1,71382.8,72586.2,73419.4,76524.9,78432.4,80795.1,82820.5
" ""05000""",Arkansas,5,36, Less: Contributions for government social insurance 5/,Millions of dollars,5196,5349.8,5516.7,5719.2,6005.2,6356.6,6816.9,7101.5,7393.2,7392.7,7603,7116.1,7258.4,8263.3,8599.6,8865.4,8981.2,9314.6,9585.6,9948.1,10674.5
" ""05000""",Arkansas,5,37,  Employee and self-employed contributions for government social insurance,Millions of dollars,2661.7,2766.7,2877,2972.3,3129,3348.4,3624.1,3797.9,3961.2,3959.2,4035,3383.8,3432.6,4401.5,4597.6,4761.1,4897.7,5133.8,5369.7,5553.6,6004.3
" ""05000""",Arkansas,5,38,  Employer contributions for government social insurance,Millions of dollars,2534.4,2583.1,2639.8,2746.9,2876.2,3008.2,3192.7,3303.7,3431.9,3433.5,3568,3732.3,3825.8,3861.7,4002,4104.2,4083.5,4180.7,4216,4394.5,4670.3
" ""05000""",Arkansas,5,42, Plus: Adjustment for residence 6/,Millions of dollars,-359.5,-374.3,-372.8,-351.3,-319.1,-288.1,-248.5,-181.5,-139.1,-120.1,-129.3,-112.3,-155.8,-215.3,-224.8,-258.1,-208.8,-318,-365.3,-371.8,-362.9
" ""05000""",Arkansas,5,45, Equals: Net earnings by place of residence,Millions of dollars,39153.4,41054.1,41935.9,44941.1,47951.4,49483.1,51261.7,53308.8,53270.2,51873.7,53461.2,56343.5,59561.6,61156.6,62558.4,63462.7,64229.3,66892.3,68481.5,70475.2,71783.1
" ""05000""",Arkansas,5,46," Plus: Dividends, interest, and rent 7/",Millions of dollars,11126.2,11291.2,11009.2,11410.3,12103.5,13622.3,15500.7,17685.5,19327.8,17300.5,17502.5,20308.4,23979,22453.2,25935.2,27822.6,29174,29881.4,32447.6,33264.6,32726.5
" ""05000""",Arkansas,5,47, Plus: Personal current transfer receipts,Millions of dollars,10741.4,11910,12825.4,13390.8,14350,15395.3,16810,18176.2,20266.7,21996.6,23612.4,24087.3,24336.6,24758,26249.8,27434.2,28422.6,29006.2,29936.1,31562.8,38638.2
" ""05000""",Arkansas,5,50, Wages and salaries,Millions of dollars,31830.5,32970.6,33873.4,35118.6,37224,39076.6,41363,43531.6,44463.8,44017.7,44757.8,46289.4,47879.7,48798.8,50466.7,52439.1,53948.1,56050.5,57878.9,60200.2,61909.5
" ""05000""",Arkansas,5,60, Supplements to wages and salaries,Millions of dollars,6983.3,7449.9,7818.1,8399.4,8874,9438.4,9742.1,10102.8,10318.5,10260.9,10504.3,10607.8,11313.6,11734.8,12083.6,12233.2,12237.8,12579,13129.3,13349,13489.5
" ""05000""",Arkansas,5,61,  Employer contributions for employee pension and insurance funds 8/,Millions of dollars,4448.9,4866.8,5178.3,5652.4,5997.8,6430.2,6549.3,6799.1,6886.6,6827.4,6936.3,6875.4,7487.8,7873.1,8081.6,8128.9,8154.3,8398.3,8913.3,8954.5,8819.2
