,Film,Revenue,Year
2356,Detective Conan: The Fist of Blue Sapphire,115570314,2019
2357,The Gentlemen,114996853,2019
2358,Pet Sematary,112399944,2019
2359,The Upside,111353135,2019
2360,Good Boys,111037232,2019
2361,Scary Stories to Tell in the Dark,95438172,2019
2362,Five Feet Apart,91500000,2019
2363,Rambo: Last Blood,91490353,2019
2364,Crawl,89203432,2019
2365,Yesterday,88092097,2019
2366,Jojo Rabbit,82468705,2019
2367,Cold Pursuit,76419755,2019
2368,Serial (Bad) Weddings 2,74769845,2019
2369,Cats,73515024,2019
2370,Charlie's Angels,73279888,2019
2371,Doctor Sleep,72281712,2019
2372,What Men Want,69766483,2019
2373,After,69497587,2019
2374,EXIT,68325551,2019
2375,A Beautiful Day in the Neighborhood,67760877,2019
2376,War,66293455,2019
2377,White Snake,61631776,2019
2378,Bombshell,61404394,2019
2379,Ashfall,61321941,2019
2380,Ready or Not,57615777,2019
2381,Kabir Singh,55478164,2019
2382,Saaho,55000000,2019
2383,Ma,51749995,2019
2384,Just Mercy,50401502,2019
2385,Uncut Gems,50020902,2019
2386,21 Bridges,49939757,2019
2387,The Legend of Hei,48045728,2019
2388,Countdown,48021766,2019
2389,Midsommar,47980982,2019
2390,Queen & Slim,47803176,2019
2391,A Madea Family Funeral,46115383,2019
2392,Child's Play,44902237,2019
2393,Hellboy,44664690,2019
2394,Playing with Fire,44400000,2019
2395,A Shaun the Sheep Movie: Farmageddon,42880428,2019
2396,My Mom is a Character 3,39273021,2019
2397,Fighting with My Family,39055536,2019
2398,Judy,38981322,2019
2399,Pain and Glory,37359689,2019
2400,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,503063688,2020
2401,The Eight Hundred,460919368,2020
2402,"Metallica: WorldWired Tour - Live in Manchester, England - June 18, 2019",426900000,2020
2403,Bad Boys for Life,426505244,2020
2404,Tenet,363129000,2020
2405,Sonic the Hedgehog,306766470,2020
2406,Dolittle,245692007,2020
2407,Jiang Ziya: The Legend of Deification,240656068,2020
2408,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),201858461,2020
2409,The Croods: A New Age,168285000,2020
2410,Wonder Woman 1984,165160005,2020
2411,Onward,141592359,2020
2412,Soul,136384442,2020
2413,The Invisible Man,130234661,2020
2414,The Call of the Wild,107604626,2020
2415,The Yin-Yang Master: Dream of Eternity,69000000,2020
2416,Mulan,66800000,2020
2417,Tolo Tolo,52186426,2020
2418,Greenland,47800000,2020
2419,Fantasy Island,47078545,2020
2420,Trolls World Tour,47000000,2020
2421,The New Mutants,45534613,2020
2422,The Grudge,42800000,2020
2423,After We Collided,42000000,2020
2424,Underwater,40882928,2020
2425,Peninsula,39657073,2020
2426,Unhinged,39238300,2020
2427,The Confidence Man JP: Princess,35762324,2020
2428,Deliver Us from Evil,34662454,2020
2429,Bloodshot,33542457,2020
2430,Invasion,32104054,2020
2431,Honest Thief,29404235,2020
2432,Ala Vaikunthapurramuloo,28859072,2020
2433,Vanguard,27900000,2020
2434,Like a Boss,26925979,2020
2435,Monster Hunter,25814306,2020
2436,Emma.,25155355,2020
2437,Digimon Adventure: Last Evolution Kizuna,24200000,2020
2438,Gretel & Hansel,22059211,2020
2439,Violet Evergarden: The Movie,20339624,2020
2440,Brahms: The Boy II,20311536,2020
2441,Fate/stay night: Heaven's Feel III. Spring Song,20150000,2020
2442,The Turning,18472775,2020
2443,Bye Bye Morons,16955173,2020
2444,The War with Grandpa,16262351,2020
2445,Freaky,15104310,2020
2446,Father There Is Only One 2,14871307,2020
2447,The Way Back,14590514,2020
2448,Children of the Corn,14568989,2020
2449,Promising Young Woman,13868965,2020
2450,#Alive,13416285,2020
2451,Fire,12916151,2020
2452,Street Dancer 3D,12589965,2020
2453,Steel Rain 2: Summit,12329960,2020
2454,Howling Village,12175665,2020
2455,Uriyadi,11327287,2020
2456,30 Days Max,11208529,2020
2457,Malang,11136444,2020
2458,UFC 246: McGregor vs. Cowboy,11087629,2020
2459,Crayon Shin-Chan: Crash! Rakuga Kingdom and Almost Four Heroes,11000000,2020
2460,Bigfoot Family,10804610,2020
2461,Impractical Jokers: The Movie,10700000,2020
2462,Nightlife,10349294,2020
2463,Me contro Te: Il film - La vendetta del Signor S,9500000,2020
2464,365 Days,9458590,2020
2465,Scoob!,9430580,2020
2466,Okay! Madam,9341543,2020
2467,10 Days Without Mum,9305412,2020
2468,Joker Joe,8859185,2020
2469,The Hunt,8621288,2020
2470,Come Play,8119285,2020
2471,Let Him Go,7997460,2020
2472,Directly Kakha,7758221,2020
2473,Downhill,7547254,2020
2474,Another Round,7287440,2020
2475,De Gaulle,7142214,2020
2476,Spycies,6928960,2020
2477,Antebellum,6852361,2020
2478,Lindenberg! Mach dein Ding,6404964,2020
2479,Hotel Belgrade,6237973,2020
2480,Beasts Clawing at Straws,5707415,2020
2481,Mama Weed,5413054,2020
2482,Poly,5236154,2020
2483,Divorce Club,5127426,2020
2484,The Kangaroo Chronicles,5081127,2020
2485,Made in Abyss: Dawn of the Deep Soul,4971635,2020
2486,Intruder,4751103,2020
2487,The SpongeBob Movie: Sponge on the Run,4700000,2020
2488,100% Wolf,4608579,2020
2489,My Spy,4418501,2020
2490,The Rental,4296804,2020
2491,The Empty Man,4176641,2020
2492,Varane Avashyamund,4139731,2020
2493,Persian Lessons,3825668,2020
2494,"Yakari, a Spectacular Journey",3790930,2020
2495,The Wretched,3758846,2020
2496,Lassie Come Home,3666620,2020
2497,Follow Me,3551439,2020
2498,Radioactive,3507755,2020
2499,18 Presents,3486375,2020
2500,The Battle at Lake Changjin,888577720,2021
2501,"Hi, Mom",822049668,2021
2502,No Time to Die,758000000,2021
2503,F9,721077945,2021
2504,Detective Chinatown 3,686257563,2021
2505,Zack Snyder's Justice League,657000000,2021
2506,Godzilla vs. Kong,467863133,2021
2507,Venom: Let There Be Carnage,454000000,2021
2508,Shang-Chi and the Legend of the Ten Rings,430238384,2021
2509,Black Widow,378328978,2021
2510,Dune,368077000,2021
2511,Eternals,368000000,2021
2512,Free Guy,331096766,2021
2513,A Quiet Place Part II,297372261,2021
2514,Cruella,233274812,2021
2515,Jungle Cruise,217000000,2021
2516,Raging Fire,205000000,2021
2517,The Conjuring: The Devil Made Me Do It,199166992,2021
2518,Cliff Walkers,172919448,2021
2519,The Suicide Squad,167381210,2021
2520,Peter Rabbit 2: The Runaway,153000000,2021
2521,A Writer's Odyssey,150000000,2021
2522,Space Jam: A New Legacy,148810604,2021
2523,PAW Patrol: The Movie,135000000,2021
2524,Tom & Jerry,132000000,2021
2525,Raya and the Last Dragon,130000000,2021
2526,The Boss Baby: Family Business,128000000,2021
2527,Halloween Kills,127000000,2021
2528,Ghostbusters: Afterlife,118000000,2021
2529,The Addams Family 2,105000000,2021
2530,Wrath of Man,103966489,2021
2531,The Obscure Moon Lighting an Obscure World,100000000,2021
2532,Old,90112510,2021
2533,Green Snake,87212911,2021
2534,Mortal Kombat,83601013,2021
2535,Evangelion: 3.0+1.0 Thrice Upon a Time,78334943,2021
2536,Candyman,77389310,2021
2537,The Forever Purge,76981630,2021
2538,Encanto,73000000,2021
2539,Hitman's Wife's Bodyguard,69212098,2021
2540,Be Somebody,64300000,2021
2541,Nobody,61779301,2021
2542,Cloudy Mountain,58232750,2021
2543,Ron's Gone Wrong,57000000,2021
2544,BELLE,54195448,2021
2545,Luca,49010641,2021
2546,Don't Breathe 2,45000000,2021
2547,Escape Room: Tournament of Champions,44888959,2021
2548,In the Heights,43000000,2021
2549,Clifford the Big Red Dog,40000000,2021
2550,My Hero Academia: World Heroes' Mission,38410729,2021
2551,House of Gucci,38000000,2021
2552,Snake Eyes: G.I. Joe Origins,36964325,2021
2553,Spiral: From the Book of Saw,36544468,2021
2554,Rurouni Kenshin: The Final,33457923,2021
2555,The French Dispatch,33000000,2021
2556,Respect,31217372,2021
2557,Love Will Tear Us Apart,30863720,2021
2558,The Unholy,30763855,2021
2559,The Little Things,29844012,2021
2560,The Last Warrior: Root of Evil,27658331,2021
2561,The Last Duel,27000000,2021
2562,Wish Dragon,25860000,2021
2563,The Courier,24901420,2021
2564,Malignant,24640084,2021
2565,Those Who Wish Me Dead,23384502,2021
2566,The Marksman,22039969,2021
2567,The Father,21029340,2021
2568,Kaamelott - The First Chapter,19002036,2021
2569,After We Fell,19000000,2021
2570,Last Night in Soho,19000000,2021
2571,Reminiscence,18717947,2021
2572,The Green Knight,18192220,2021
2573,Spirit Untamed,17635215,2021
2574,The Dry,17166067,2021
2575,"Dad, I'm Sorry",17130489,2021
2576,Antlers,16000000,2021
2577,Stillwater,15987232,2021
2578,Dear Evan Hansen,15732069,2021
2579,Gintama: The Final,15486691,2021
2580,Resident Evil: Welcome to Raccoon City,15250432,2021
2581,Nomadland,14784114,2021
2582,The Night House,14590542,2021
2583,Minari,12886100,2021
2584,Cry Macho,11780000,2021
2585,The Many Saints of Newark,11620603,2021
2586,King Richard,11000000,2021
2587,Agent Backkom: Kings Bear,8500000,2021
2588,The Protégé,8115215,2021
2589,Ainbo: Spirit of the Amazon,7877742,2021
2590,Honsla Rakh,7100000,2021
2591,Dream Horse,6435260,2021
2592,Judas and the Black Messiah,6416063,2021
2593,The Laws of the Universe - The Age of Elohim,5928973,2021
2594,Copshop,5400000,2021
2595,Chernobyl: Abyss,5370393,2021
2596,Titane,5115725,2021
2597,Family Swap,4849622,2021
2598,Qismat 2,4700000,2021
2599,Major Grom: Plague Doctor,4493306,2021
