,film,revenue,release_date
1269,Meet the Spartans,84646831,2008-01-24
1270,Nights in Rodanthe,84375061,2008-09-26
1271,The Strangers,82391145,2008-05-29
1272,Righteous Kill,79498846,2008-09-11
1273,The Other Boleyn Girl,78269970,2008-02-28
1274,Death Race,76014335,2008-08-22
1275,Ghajini,76000000,2008-12-25
1276,Revolutionary Road,75981180,2008-12-19
1277,Mirrors,72436439,2008-08-15
1278,Babylon A.D.,72108608,2008-08-20
1279,Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,70642966,2008-02-01
1280,The House Bunny,70442940,2008-08-22
1281,Departures,69932387,2008-09-13
1282,21,69823199,2008-03-27
1283,The X Files: I Want to Believe,68369434,2008-07-24
1284,Star Wars: The Clone Wars,68282844,2008-08-05
1285,Street Kings,65569869,2008-04-10
1286,The Bank Job,64822796,2008-02-28
1287,Space Chimps,64762724,2008-06-25
1288,Baby Mama,63833449,2008-04-25
1289,Inkheart,62803180,2008-12-11
1290,The Eye,56309766,2008-02-01
1291,"Definitely, Maybe",55447968,2008-02-08
1292,Milk,54589558,2008-11-05
1293,Untraceable,52659594,2008-01-22
1294,College Road Trip,51549674,2008-03-07
1295,Defiance,51155219,2008-12-31
1296,Doubt,50907234,2008-02-27
1297,Snow Buddies,50802372,2008-02-05
1298,Meet Dave,50650079,2008-07-08
1299,The Women,50007546,2008-09-12
1300,Avatar,2847246203,2009-12-10
1301,Harry Potter and the Half-Blood Prince,933959197,2009-07-07
1302,Ice Age: Dawn of the Dinosaurs,886686817,2009-06-26
1303,Transformers: Revenge of the Fallen,836303693,2009-06-19
1304,2012,791217826,2009-10-10
1305,Up,735099082,2009-05-28
1306,The Twilight Saga: New Moon,709827462,2009-11-18
1307,Sherlock Holmes,524028679,2009-01-01
1308,Angels & Demons,485930816,2009-05-13
1309,The Hangover,469310836,2009-06-02
1310,Alvin and the Chipmunks: The Squeakquel,443140005,2009-12-21
1311,Night at the Museum: Battle of the Smithsonian,413106170,2009-05-20
1312,Star Trek,385680446,2009-05-06
1313,Monsters vs Aliens,381509870,2009-03-19
1314,X-Men Origins: Wolverine,373062864,2009-04-28
1315,Terminator Salvation,371353001,2009-05-20
1316,Fast & Furious,363164265,2009-04-02
1317,A Christmas Carol,325286646,2009-11-04
1318,The Ugly Truth,321682600,2009-07-24
1319,Inglourious Basterds,321455689,2009-08-19
1320,The Proposal,317375031,2009-06-01
1321,The Blind Side,309208309,2009-11-20
1322,G.I. Joe: The Rise of Cobra,302469017,2009-08-03
1323,G-Force,292817841,2009-07-21
1324,The Princess and the Frog,270997378,2009-12-08
1325,This Is It,261200000,2009-10-28
1326,Cloudy with a Chance of Meatballs,242988466,2009-09-17
1327,It's Complicated,219103655,2009-12-23
1328,Public Enemies,214104620,2009-07-01
1329,District 9,210819611,2009-08-05
1330,The Final Destination,186167139,2009-08-26
1331,Watchmen,185258983,2009-03-04
1332,Paul Blart: Mall Cop,183293131,2009-01-15
1333,He's Just Not That Into You,178866158,2009-02-06
1334,Couples Retreat,171844840,2009-09-19
1335,Up in the Air,166842739,2009-09-05
1336,Hannah Montana: The Movie,155545279,2009-04-10
1337,Knowing,155446362,2009-03-19
1338,The Taking of Pelham 1 2 3,150166126,2009-06-10
1339,17 Again,136267476,2009-03-11
1340,Julie & Julia,129540499,2009-08-06
1341,Law Abiding Citizen,126690726,2009-10-15
1342,Coraline,124596398,2009-02-05
1343,Surrogates,122444772,2009-09-24
1344,Invictus,122426792,2009-12-10
1345,Red Cliff Part II,121059225,2009-01-07
1346,Hotel for Dogs,117000198,2009-01-16
1347,Bride Wars,114663461,2009-01-09
1348,The Collector,114000000,2009-07-09
1349,The Girl with the Dragon Tattoo,109421911,2009-02-27
1350,Confessions of a Shopaholic,108332743,2009-02-05
1351,Race to Witch Mountain,106303988,2009-03-12
1352,Planet 51,104945765,2009-11-19
1353,My Bloody Valentine,102836002,2009-01-16
1354,Zombieland,102391540,2009-10-07
1355,Ghosts of Girlfriends Past,102223269,2009-05-01
1356,The Time Traveler's Wife,101344412,2009-08-14
1357,Where the Wild Things Are,100140916,2009-10-16
1358,Old Dogs,96753696,2009-11-24
1359,My Sister's Keeper,95714875,2009-06-26
1360,The Lovely Bones,93621340,2009-02-19
1361,Underworld: Rise of the Lycans,92158961,2009-01-22
1362,"I Love You, Man",91980359,2009-03-20
1363,Friday the 13th,91509154,2009-02-11
1364,Drag Me to Hell,90810892,2009-03-15
1365,Madea Goes to Jail,90508336,2009-02-16
1366,Rookies the Movie: Graduation,88055243,2009-05-30
1367,State of Play,87784194,2009-04-17
1368,Did You Hear About the Morgans?,85280250,2009-12-17
1369,Duplicity,78146652,2009-03-18
1370,Orphan,77912251,2009-07-24
1371,The Haunting in Connecticut,77527732,2009-03-27
1372,Fame,77211836,2009-09-23
1373,The Unborn,76514050,2009-01-09
1374,The Pink Panther 2,75871032,2009-02-06
1375,Obsessed,73830340,2009-04-24
1376,Tidal Wave,71641901,2009-06-06
1377,Funny People,71585235,2009-07-30
1378,3 Idiots,70000000,2009-12-23
1379,The Men Who Stare at Goats,68729358,2009-10-17
1380,Land of the Lost,68688831,2009-06-05
1381,Saw VI,68233629,2009-10-16
1382,The Girl Who Played with Fire,67126795,2009-09-18
1383,The Imaginarium of Doctor Parnassus,64352607,2009-10-01
1384,Little Nicholas,62794894,2009-09-30
1385,Year One,62357900,2009-06-18
1386,(500) Days of Summer,60781545,2009-07-17
1387,Ninja Assassin,60462347,2009-09-29
1388,The International,60161391,2009-02-03
1389,Dragonball Evolution,58228460,2009-03-12
1390,Aliens in the Attic,57881056,2009-07-31
1391,Nine,53825515,2009-12-03
1392,One Piece Film: Strong World,53000000,2009-12-12
1393,Daybreakers,51416464,2009-10-01
1394,Pokémon: Arceus and the Jewel of Life,50673078,2009-07-18
1395,"Woodstock, 3 days of peace & music",50000000,2009-06-09
1396,Rabbit Without Ears 2,48720000,2009-11-24
1397,9,48428063,2009-08-19
1398,The Fourth Kind,47709193,2009-11-06
1399,Precious,47536959,2009-11-06
1400,Toy Story 3,1066969703,2010-06-16
1401,Alice in Wonderland,1025467110,2010-03-03
1402,Harry Potter and the Deathly Hallows: Part 1,954305868,2010-10-17
1403,Inception,825532764,2010-07-15
1404,Shrek Forever After,752600867,2010-05-16
1405,The Twilight Saga: Eclipse,698491347,2010-06-23
1406,Iron Man 2,623933331,2010-04-28
1407,Tangled,592461732,2010-11-24
1408,Despicable Me,533679475,2010-07-08
1409,How to Train Your Dragon,494878759,2010-03-10
1410,Clash of the Titans,493214993,2010-03-31
1411,The Chronicles of Narnia: The Voyage of the Dawn Treader,415686217,2010-12-02
1412,The King's Speech,414211549,2010-09-06
1413,TRON: Legacy,400062763,2010-12-14
1414,The Karate Kid,359126022,2010-06-10
1415,Tom and Jerry Meet Sherlock Holmes,347988775,2010-08-24
1416,Prince of Persia: The Sands of Time,335154643,2010-05-19
1417,Black Swan,329398046,2010-12-03
1418,Megamind,321885765,2010-10-28
1419,Robin Hood,321669741,2010-05-12
1420,The Last Airbender,319713881,2010-06-30
1421,Little Fockers,310650585,2010-12-21
1422,Resident Evil: Afterlife,300228084,2010-09-09
1423,Shutter Island,294800000,2010-02-14
1424,Salt,293329073,2010-07-21
1425,Sex and the City 2,290745055,2010-05-26
1426,The Tourist,278731369,2010-12-08
1427,The Expendables,274470394,2010-08-03
1428,Grown Ups,271430189,2010-06-24
1429,Knight and Day,261930431,2010-06-15
1430,True Grit,252276927,2010-12-22
1431,Gulliver's Travels,237382724,2010-12-25
1432,Percy Jackson & the Olympians: The Lightning Thief,226497209,2010-02-01
1433,The Social Network,224920315,2010-10-01
1434,Valentine's Day,216485654,2010-02-10
1435,The Sorcerer's Apprentice,215283742,2010-07-13
1436,Due Date,211780824,2010-11-04
1437,Eat Pray Love,204594016,2010-08-12
1438,Yogi Bear,203509374,2010-12-17
1439,Paranormal Activity 2,177512032,2010-10-20
1440,The A-Team,177238796,2010-06-09
1441,The Other Guys,170432927,2010-08-06
1442,Unstoppable,167805466,2010-11-04
1443,Step Up 3D,159291809,2010-08-04
1444,The Book of Eli,157107755,2010-01-11
1445,The Town,154026136,2010-09-15
1446,Date Night,152263880,2010-04-08
1447,The Secret World of Arrietty,145570827,2010-07-16
1448,Legend of the Guardians: The Owls of Ga'Hoole,140073390,2010-07-10
1449,The Bounty Hunter,136333522,2010-03-16
1450,Saw 3D,136150434,2010-10-21
1451,Wall Street: Money Never Sleeps,134748021,2010-09-02
1452,Predators,127233108,2010-07-03
1453,Nanny McPhee and the Big Bang,123276807,2010-03-26
1454,Jackass 3D,117224271,2010-10-15
1455,A Nightmare on Elm Street,115664037,2010-04-30
1456,Dear John,114977104,2010-02-04
1457,Cats & Dogs: The Revenge of Kitty Galore,112483764,2010-07-28
1458,Tooth Fairy,112462508,2010-01-14
1459,Hereafter,106956330,2010-10-22
1460,Life As We Know It,105734416,2010-10-02
1461,Let the Bullets Fly,104731450,2010-12-20
1462,Love & Other Drugs,102820008,2010-11-22
1463,Aftershock,100297064,2010-07-22
1464,Killers,98159963,2010-06-04
1465,Insidious,97009150,2010-09-13
1466,Kick-Ass,96188903,2010-03-22
1467,Green Zone,94882889,2010-03-11
1468,Nothing to Declare,93800000,2010-12-20
1469,The Fighter,93617009,2010-12-17
1470,Get Him to the Greek,90029656,2010-06-04
1471,Burlesque,89519773,2010-11-23
1472,The Last Song,89137047,2010-03-31
1473,Dinner for Schmucks,86387857,2010-07-30
1474,Marmaduke,83761844,2010-06-04
1475,Doraemon: Nobita's Great Battle of the Mermaid King,83686340,2010-03-06
1476,Piranha 3D,83188165,2010-08-20
1477,Letters to Juliet,82148538,2010-05-13
1478,Edge of Darkness,81126522,2010-01-28
1479,Vampires Suck,80547866,2010-08-18
1480,The Back-Up Plan,77477008,2010-04-23
1481,Diary of a Wimpy Kid,76196538,2010-03-19
1482,Easy A,75026327,2010-09-16
1483,Bayside Shakedown 3: Set the Guys Loose,72500000,2010-07-03
1484,RED,71664962,2010-10-13
1485,A Turtle's Tale: Sammy's Adventures,71594792,2010-08-03
1486,Takers,69055695,2010-08-26
1487,Legion,67918658,2010-01-21
1488,The Last Exorcism,67738090,2010-08-27
1489,Skyline,66984887,2010-11-11
1490,The Spy Next Door,66166000,2010-01-15
1491,Benvenuti al Sud,65584679,2010-10-01
1492,The American,65464324,2010-08-31
1493,Hot Tub Time Machine,64780213,2010-03-26
1494,Elite Squad: The Enemy Within,63027681,2010-10-08
1495,Robot,62000000,2010-10-01
1496,The Ghost Writer,60331447,2010-02-12
1497,Secretariat,60321861,2010-08-20
1498,Why Did I Get Married Too?,60072596,2010-04-02
1499,Morning Glory,60040976,2010-11-10
1500,Harry Potter and the Deathly Hallows: Part 2,1341511219,2011-07-07
1501,Transformers: Dark of the Moon,1123794079,2011-06-28
1502,Pirates of the Caribbean: On Stranger Tides,1045713802,2011-05-14
1503,The Twilight Saga: Breaking Dawn - Part 1,712171856,2011-11-16
1504,Mission: Impossible - Ghost Protocol,694713380,2011-12-07
1505,Kung Fu Panda 2,665692281,2011-05-25
1506,Fast Five,626137675,2011-04-20
1507,The Hangover Part II,586764305,2011-05-25
1508,The Smurfs,563749323,2011-07-29
1509,Cars 2,559852396,2011-06-11
1510,Puss in Boots,554987477,2011-10-28
1511,Rio,484635760,2011-04-03
1512,Rise of the Planet of the Apes,482860185,2011-08-03
1513,Thor,449326618,2011-04-21
1514,The Intouchables,426588510,2011-11-02
1515,The Adventures of Tintin,371940071,2011-10-24
1516,Captain America: The First Avenger,370569774,2011-07-22
1517,X-Men: First Class,353624124,2011-06-01
1518,Alvin and the Chipmunks: Chipwrecked,342695435,2011-12-14
1519,Sherlock Holmes: A Game of Shadows,334615000,2011-11-22
1520,Real Steel,299268508,2011-09-28
1521,Bridesmaids,288383523,2011-05-13
1522,Super 8,260095986,2011-06-08
1523,Rango,245724603,2011-03-02
1524,The Girl with the Dragon Tattoo,232617430,2011-12-14
1525,The Green Hornet,227817248,2011-01-12
1526,Immortals,226904017,2011-11-10
1527,Green Lantern,219851172,2011-06-16
1528,The Help,216639112,2011-08-09
1529,Bad Teacher,216197492,2011-05-16
1530,Just Go with It,214945591,2011-02-10
1531,Battle: Los Angeles,211819354,2011-03-08
1532,Horrible Bosses,209838559,2011-07-08
1533,Paranormal Activity 3,207039844,2011-10-19
1534,Gnomeo & Juliet,189712432,2011-01-13
1535,Mr. Popper's Penguins,187361754,2011-06-17
1536,Hugo,185770160,2011-11-22
1537,Hop,183953723,2011-03-30
1538,War Horse,177584879,2011-12-25
1539,The Descendants,177243185,2011-09-09
1540,Cowboys & Aliens,174822325,2011-07-29
1541,In Time,173930596,2011-10-27
1542,Zookeeper,169852759,2011-07-06
1543,The Muppets,165184237,2011-11-22
1544,Limitless,161849455,2011-03-08
1545,Johnny English Reborn,160078586,2011-09-15
1546,Zindagi Na Milegi Dobara,160000000,2011-07-15
1547,Final Destination 5,157887643,2011-08-12
1548,Tower Heist,152930623,2011-11-02
1549,Midnight in Paris,151119219,2011-05-11
1550,Happy Feet Two,150406466,2011-11-18
1551,I Am Number Four,149878437,2011-02-18
1552,Jack and Jill,149673788,2011-11-11
1553,Friends with Benefits,149542245,2011-07-21
1554,No Strings Attached,149228077,2011-01-21
1555,Source Code,147332697,2011-03-30
1556,"Crazy, Stupid, Love.",142851197,2011-07-29
1557,New Year's Eve,142044638,2011-12-08
1558,Contagion,137551594,2011-09-08
1559,The Best Exotic Marigold Hotel,136836156,2011-11-28
1560,The Artist,133432856,2011-10-12
1561,Ghost Rider: Spirit of Vengeance,132563930,2011-12-11
1562,The Three Musketeers,132274484,2011-08-31
1563,Unknown,130786397,2011-02-16
1564,The Adjustment Bureau,127869379,2011-03-03
1565,We Bought a Zoo,120081841,2011-12-08
1566,Water for Elephants,117094902,2011-04-15
1567,The Iron Lady,115890699,2011-12-30
1568,Moneyball,110206216,2011-09-22
1569,Sanctum,108609310,2011-02-03
1570,7Aum Arivu,98900000,2011-10-26
1571,Justin Bieber: Never Say Never,98441954,2011-02-11
1572,Paul,97984015,2011-02-14
1573,Scream 4,97231420,2011-04-11
1574,The Rite,96047633,2011-01-28
1575,Dolphin Tale,95404397,2011-09-23
1576,The Flowers of War,95311434,2011-12-15
1577,Season of the Witch,91627228,2011-01-07
1578,Sucker Punch,89792502,2011-03-24
1579,Red Riding Hood,89162162,2011-03-11
1580,The Inbetweeners Movie,88823111,2011-08-19
1581,Hall Pass,86157237,2011-02-25
1582,Spy Kids: All the Time in the World,85564310,2011-08-18
1583,The Lincoln Lawyer,85412898,2011-03-17
1584,J. Edgar,84606030,2011-11-09
1585,"Big Mommas: Like Father, Like Son",83615414,2011-02-16
1586,Abduction,82087155,2011-09-22
1587,Tinker Tailor Soldier Spy,80630608,2011-09-16
1588,Priest,78309131,2011-05-05
1589,Drive,78054825,2011-08-06
1590,The Grey,77278331,2011-09-14
1591,The Ides of March,76338111,2011-09-24
1592,The Change-Up,75450437,2011-08-05
1593,Larry Crowne,75055070,2011-06-30
1594,Diary of a Wimpy Kid: Rodrick Rules,72526996,2011-03-25
1595,The Dilemma,67112664,2011-01-13
1596,Something Borrowed,65090821,2011-05-05
1597,The Darkest Hour,64626786,2011-12-22
1598,Hanna,63782078,2011-04-07
1599,Footloose,63543328,2011-10-06
1600,The Avengers,1518815515,2012-04-25
1601,Skyfall,1108561013,2012-10-25
1602,The Dark Knight Rises,1081041287,2012-07-16
1603,The Hobbit: An Unexpected Journey,1021103568,2012-11-26
1604,Ice Age: Continental Drift,877244782,2012-06-27
1605,The Twilight Saga: Breaking Dawn - Part 2,829000000,2012-11-13
1606,The Amazing Spider-Man,757930663,2012-06-23
1607,Madagascar 3: Europe's Most Wanted,746921274,2012-06-06
1608,The Hunger Games,691210692,2012-03-12
1609,Men in Black 3,624026776,2012-05-23
1610,Life of Pi,609016565,2012-11-20
1611,Ted,549368315,2012-06-29
1612,Brave,538983207,2012-06-21
1613,Love and Germophobia,499999999,2012-01-01
1614,Wreck-It Ralph,471222889,2012-01-01
1615,Les Misérables,441809770,2012-12-18
1616,Django Unchained,425368238,2012-12-25
1617,Prometheus,403170142,2012-05-30
1618,Snow White and the Huntsman,396600000,2012-05-30
1619,Taken 2,376141306,2012-09-27
1620,Hotel Transylvania,358375603,2012-09-20
1621,Journey 2: The Mysterious Island,355692760,2012-01-19
1622,The Lorax,348840316,2012-03-01
1623,The Expendables 2,314975955,2012-08-08
1624,Rise of the Guardians,306941670,2012-11-21
1625,Battleship,303025485,2012-04-11
1626,Wrath of the Titans,301970083,2012-03-28
1627,John Carter,284139100,2012-03-07
1628,The Bourne Legacy,276572938,2012-08-08
1629,Lincoln,275293450,2012-11-09
1630,Dark Shadows,245527149,2012-05-09
1631,Resident Evil: Retribution,240159255,2012-09-12
1632,Silver Linings Playbook,236412453,2012-09-08
1633,American Reunion,234989584,2012-04-04
1634,Argo,232325503,2012-03-22
1635,Jack Reacher,218340595,2012-12-20
1636,Safe House,208076205,2012-02-09
1637,Lost in Thailand,208000000,2012-12-12
1638,21 Jump Street,201585328,2012-03-14
1639,Total Recall,198802074,2012-08-02
1640,The Impossible,198087212,2012-09-09
1641,The Vow,196114570,2012-02-05
1642,Mirror Mirror,183018522,2012-03-15
1643,The Dictator,179379533,2012-05-15
1644,Chinese Zodiac,171339013,2012-12-20
1645,Magic Mike,167221571,2012-06-28
1646,Flight,161772375,2012-11-02
1647,Underworld: Awakening,160112671,2012-01-19
1648,This Means War,156974557,2012-02-14
1649,Chronicle,145000000,2012-02-01
1650,Paranormal Activity 4,142817992,2012-10-17
1651,Step Up Revolution,140470746,2012-07-26
1652,Zero Dark Thirty,132820716,2012-12-19
1653,Cloud Atlas,130482868,2012-10-26
1654,The Woman in Black,127730736,2012-02-03
1655,The Pirates! In an Adventure with Scientists!,123054041,2012-03-12
1656,Parental Guidance,119772232,2012-12-25
1657,Abraham Lincoln: Vampire Hunter,116471580,2012-06-20
1658,Pitch Perfect,115400000,2012-09-28
1659,Hope Springs,114281051,2012-08-07
1660,ParaNorman,107139399,2012-08-03
1661,The Campaign,104907746,2012-08-09
1662,Painted Skin: The Resurrection,103131994,2012-06-28
1663,The Devil Inside,101758490,2012-01-06
1664,Someone Wants to Talk with You,100000000,2012-09-22
1665,The Lucky One,99357138,2012-04-19
1666,Contraband,96262212,2012-01-12
1667,Think Like a Man,96070507,2012-04-16
1668,This Is 40,88058786,2012-12-20
1669,The Possession,85446075,2012-08-30
1670,The Thieves,83519699,2012-07-25
1671,Savages,82966152,2012-07-06
1672,Sinister,82515113,2012-03-29
1673,Frankenweenie,81493846,2012-10-04
1674,Act of Valor,81272766,2012-02-24
1675,What to Expect When You're Expecting,79700000,2012-05-17
1676,Diary of a Wimpy Kid: Dog Days,76196538,2012-08-02
1677,To Rome with Love,73244881,2012-04-20
1678,Here Comes the Boom,73100172,2012-10-11
1679,The Cabin in the Woods,71041255,2012-04-12
1680,Anna Karenina,68929150,2012-09-06
1681,The Watch,68267862,2012-07-26
1682,Moonrise Kingdom,68263166,2012-05-16
1683,Madea's Witness Protection,66899242,2012-06-29
1684,Rurouni Kenshin Part I: Origins,61700000,2012-08-25
1685,Evangelion: 3.0 You Can (Not) Redo,60487945,2012-11-17
1686,Quartet,59520298,2012-09-08
1687,Rock of Ages,59418613,2012-06-13
1688,That's My Boy,58058367,2012-06-14
1689,The Odd Life of Timothy Green,56012642,2012-08-15
1690,Wolf Children,55060661,2012-07-21
1691,The Three Stooges,54819301,2012-04-13
1692,The Five-Year Engagement,54169363,2012-04-27
1693,Lawless,53676580,2012-08-29
1694,Silent Hill: Revelation 3D,52302796,2012-10-10
1695,Ek Tha Tiger,51000000,2012-08-15
1696,Red Tails,50365377,2012-01-19
1697,HOUBA! On the Trail of the Marsupilami,48600000,2012-04-03
1698,End of Watch,48126384,2012-09-20
1699,Looper,47042000,2012-09-26
1700,Frozen,1274219009,2013-11-20
1701,Iron Man 3,1214811252,2013-04-18
1702,Despicable Me 2,970761885,2013-06-26
1703,The Hobbit: The Desolation of Smaug,958400000,2013-12-11
1704,The Hunger Games: Catching Fire,847423452,2013-11-15
1705,Fast & Furious 6,788680968,2013-05-21
1706,Man of Steel,754045518,2013-06-12
1707,Monsters University,743559607,2013-06-19
1708,Gravity,723192705,2013-10-03
1709,Thor: The Dark World,644571402,2013-10-30
1710,The Croods,587204668,2013-03-15
1711,World War Z,531865000,2013-06-20
1712,Oz the Great and Powerful,491868548,2013-03-07
1713,Star Trek Into Darkness,467365246,2013-05-05
1714,The Wolverine,415440673,2013-07-23
1715,Pacific Rim,407602906,2013-07-11
1716,The Wolf of Wall Street,392000000,2013-12-25
1717,G.I. Joe: Retaliation,371876278,2013-03-27
1718,The Hangover Part III,362000072,2013-05-23
1719,Now You See Me,351723989,2013-05-29
1720,The Great Gatsby,351040419,2013-05-10
1721,The Smurfs 2,347434178,2013-07-30
1722,The Conjuring,319494638,2013-03-20
1723,A Good Day to Die Hard,304654182,2013-02-06
1724,Oblivion,286168572,2013-04-10
1725,Elysium,286140700,2013-08-07
1726,Turbo,282570682,2013-07-11
1727,We're the Millers,269994119,2013-08-07
1728,Epic,268426634,2013-05-15
1729,The Lone Ranger,260502115,2013-07-03
1730,American Hustle,251171807,2013-12-03
1731,Cloudy with a Chance of Meatballs 2,248384621,2013-09-26
1732,Grown Ups 2,247022278,2013-07-11
1733,After Earth,243843127,2013-05-30
1734,Hansel & Gretel: Witch Hunters,226349749,2013-01-17
1735,Planes,219788712,2013-08-09
1736,Captain Phillips,218791811,2013-10-10
1737,White House Down,205366737,2013-06-27
1738,Percy Jackson: Sea of Monsters,199850315,2013-08-07
1739,Jack the Giant Slayer,197687603,2013-02-27
1740,The Secret Life of Walter Mitty,188133322,2013-12-18
1741,12 Years a Slave,187000000,2013-10-18
1742,Identity Thief,173965010,2013-02-07
1743,Anchorman 2: The Legend Continues,173649015,2013-12-18
1744,Olympus Has Fallen,161025640,2013-03-20
1745,Insidious: Chapter 2,161000000,2013-09-12
1746,The Heat,158674180,2013-06-27
1747,Jackass Presents: Bad Grandpa,151831537,2013-10-22
1748,47 Ronin,150962475,2013-12-06
1749,Lone Survivor,149295601,2013-12-24
1750,RED 2,148100000,2013-07-18
1751,Mama,146497771,2013-01-17
1752,Last Vegas,134402450,2013-10-31
1753,2 Guns,131940411,2013-08-02
1754,Walking with Dinosaurs,126546518,2013-12-18
1755,This Is the End,126041322,2013-06-12
1756,Ender's Game,125537191,2013-10-24
1757,Escape Plan,122915111,2013-10-09
1758,Prisoners,122126687,2013-09-18
1759,The Wind Rises,117932401,2013-07-20
1760,Warm Bodies,116980662,2013-01-31
1761,So Young,116000000,2013-04-25
1762,The Butler,115922175,2013-08-16
1763,Saving Mr. Banks,112544580,2013-11-16
1764,Free Birds,110000000,2013-10-30
1765,Gangster Squad,105200903,2013-01-10
1766,Philomena,100129872,2013-11-01
1767,Blue Jasmine,99206215,2013-08-01
1768,Instructions Not Included,99067206,2013-07-20
1769,Young Detective Dee: Rise of the Sea Dragon,98774891,2013-09-27
1770,Riddick,98337295,2013-09-02
1771,Safe Haven,97594140,2013-02-07
1772,Evil Dead,97542952,2013-04-05
1773,The Mortal Instruments: City of Bones,95396573,2013-08-21
1774,42,95020213,2013-04-12
1775,Dhoom 3,91000000,2013-12-19
1776,Rush,90247624,2013-09-02
1777,The Purge,89328627,2013-05-31
1778,American Dreams in China,88000000,2013-05-18
1779,Pain & Gain,87305549,2013-04-18
1780,About Time,87100449,2013-09-04
1781,Snowpiercer,86758912,2013-08-01
1782,The Eternal Zero,84500000,2013-12-20
1783,Carrie,82394288,2013-10-16
1784,Finding Mr. Right,81350000,2013-03-20
1785,Police Story: Lockdown,81170000,2013-12-24
1786,Scary Movie 5,78378744,2013-04-11
1787,The Book Thief,76586316,2013-11-08
1788,Escape from Planet Earth,74597643,2013-02-14
1789,August: Osage County,74188937,2013-12-26
1790,The Best Man Holiday,71625195,2013-11-15
1791,The Counselor,71009334,2013-10-25
1792,The Call,68572378,2013-03-14
1793,One Direction: This Is Us,68500000,2013-08-30
1794,Stalingrad,68129518,2013-10-09
1795,The House of Magic,64197205,2013-12-24
1796,The Grandmaster,64076736,2013-01-10
1797,Begin Again,63464861,2013-09-07
1798,Side Effects,63372757,2013-02-07
1799,The Host,63327201,2013-03-22
1800,Transformers: Age of Extinction,1104000000,2014-06-25
1801,The Hobbit: The Battle of the Five Armies,956019788,2014-12-10
1802,Guardians of the Galaxy,772776600,2014-07-30
1803,Maleficent,758539785,2014-05-28
1804,The Hunger Games: Mockingjay - Part 1,752100229,2014-11-19
1805,X-Men: Days of Future Past,747862775,2014-05-15
1806,Captain America: The Winter Soldier,714766572,2014-03-20
1807,Dawn of the Planet of the Apes,710644566,2014-06-26
1808,The Amazing Spider-Man 2,708962323,2014-04-16
1809,Interstellar,701729206,2014-11-05
1810,Big Hero 6,657827828,2014-10-24
1811,How to Train Your Dragon 2,621537500,2014-06-05
1812,American Sniper,542307423,2014-12-25
1813,Godzilla,529076069,2014-05-14
1814,Rio 2,500188435,2014-03-19
1815,Teenage Mutant Ninja Turtles,477200000,2014-08-07
1816,The Lego Movie,469160692,2014-02-06
1817,Lucy,458863600,2014-07-25
1818,Kingsman: The Secret Service,414351546,2014-12-13
1819,Penguins of Madagascar,373552094,2014-11-22
1820,Edge of Tomorrow,370541256,2014-05-27
1821,Gone Girl,369330363,2014-10-01
1822,Night at the Museum: Secret of the Tomb,363204635,2014-12-17
1823,Noah,362637473,2014-03-07
1824,The Maze Runner,348319861,2014-09-10
1825,300: Rise of an Empire,337580051,2014-03-05
1826,Taken 3,325771424,2014-12-16
1827,The Fault in Our Stars,307166834,2014-05-16
1828,Divergent,288747895,2014-03-14
1829,Mr. Peabody & Sherman,272912430,2014-02-07
1830,Neighbors,270665134,2014-05-08
1831,Exodus: Gods and Kings,268031828,2014-12-03
1832,Paddington,259207227,2014-11-24
1833,Annabelle,257047661,2014-10-02
1834,Hercules,244819862,2014-07-23
1835,RoboCop,242688965,2014-01-30
1836,The Imitation Game,233555708,2014-11-14
1837,Non-Stop,222809600,2014-02-26
1838,Dracula Untold,217124280,2014-10-01
1839,Into the Woods,212902372,2014-12-24
1840,Fury,211817906,2014-10-15
1841,The Expendables 3,206172544,2014-08-04
1842,Need for Speed,203277636,2014-03-12
1843,The Other Woman,196781193,2014-04-16
1844,The Equalizer,192330738,2014-09-24
1845,22 Jump Street,188441614,2014-06-05
1846,Serial (Bad) Weddings,176404493,2014-04-16
1847,The Grand Budapest Hotel,174600318,2014-02-26
1848,Dumb and Dumber To,169837010,2014-11-12
1849,Unbroken,163442937,2014-12-25
1850,Into the Storm,160602194,2014-08-06
1851,The Monuments Men,154984035,2014-01-24
1852,Ride Along,153997819,2014-01-07
1853,Planes: Fire & Rescue,151165787,2014-07-17
1854,The Taking of Tiger Mountain,141654055,2014-12-24
1855,Let's Be Cops,136621271,2014-08-13
1856,Jack Ryan: Shadow Recruit,135511030,2014-01-15
1857,Annie,133821816,2014-12-19
1858,Blended,127994610,2014-05-21
1859,Sex Tape,126069509,2014-07-17
1860,The Theory of Everything,123726688,2014-11-26
1861,The Nut Job,122529966,2014-01-17
1862,PK,120000000,2014-12-18
1863,Pompeii,117831631,2014-02-18
1864,Seventh Son,114178613,2014-12-12
1865,The Admiral: Roaring Currents,112156811,2014-07-30
1866,The Purge: Anarchy,111928365,2014-07-17
1867,"Where Are We Going, Dad?",111870000,2014-01-31
1868,The Boxtrolls,108255770,2014-09-10
1869,Horrible Bosses 2,107670357,2014-11-26
1870,The Breakup Guru,106640000,2014-06-27
1871,Ode To My Father,105365782,2014-12-17
1872,Ouija,103590271,2014-10-24
